accession,tax_id,organism_name,common_name
GCF_000412655.1,109478,Myotis brandtii,Brandt's bat
GCA_028555095.1,85952,Dicrostonyx torquatus,Arctic lemming
GCA_004027275.1,13515,Eulemur fulvus,brown lemur
GCF_000296735.1,185453,Chrysochloris asiatica,Cape golden mole
GCA_029224305.1,27604,Caperea marginata,pygmy right whale
GCF_000298275.1,1230840,Orycteropus afer afer,
GCA_009793145.1,58060,Cynopterus brachyotis,lesser short-nosed fruit bat
GCA_902168415.1,246392,Peromyscus melanophrys,plateau mouse
GCA_019206885.2,111840,Microtus richardsoni,water vole
GCA_000465285.1,77214,Eidolon helvum,straw-colored fruit bat
GCA_032201145.1,302418,Smutsia temminckii,ground pangolin
GCA_006410515.1,157668,Procapra przewalskii,Przewalski's gazelle
GCA_004027735.1,40233,Carollia perspicillata,Seba's short-tailed bat
GCA_004027615.1,36227,Cercopithecus neglectus,De Brazza's monkey
GCA_000978805.1,33556,Balaenoptera bonaerensis,Antarctic minke whale
GCA_016801295.1,1496684,Manis crassicaudata,Indian pangolin
GCA_004024985.1,34875,Saiga tatarica,
GCA_004364475.1,9760,Ziphius cavirostris,Cuvier's beaked whale
GCA_020392405.1,88450,Microtus montanus,montane vole
GCA_004027775.1,9355,Bradypus variegatus,Brown-throated sloth
GCA_004027955.1,340076,Chaetophractus vellerosus,Screaming hairy armadillo
GCA_013239625.1,273908,Lama guanicoe cacsilensis,
GCA_013265495.1,273917,Vicugna vicugna mensalis,
GCA_014926565.1,91880,Kobus leche leche,
GCA_006942125.1,82127,Hippotragus niger niger,
GCA_003697995.1,2282171,Taxidea taxus jeffersonii,
GCA_928851695.1,54600,Macaca nigra,Celebes crested macaque
GCA_916098195.1,129801,Ateles hybridus,brown spider monkey
GCA_022376925.1,1088131,Tragulus kanchil,
GCA_023783095.1,9551,Macaca assamensis,Assam macaque
GCA_023807365.1,54601,Macaca silenus,liontail macaque
GCA_020226025.1,145526,Muntiacus gongshanensis,Gongshanensis muntjac
GCA_014849445.1,36226,Cercopithecus mona,Mona monkey
GCA_026936385.1,2997257,Molossus nigricans,northern black mastiff bat
GCA_935064755.1,69297,Tragelaphus eurycerus,bongo
GCA_031021685.1,249017,Rhynchonycteris naso,proboscis bat
GCA_023764705.1,1194336,Rhinopithecus strykeri,Burmese snub-nosed monkey
GCA_023159085.1,2340998,Spilogale interrupta,plains spotted skunk
GCA_023762245.1,272121,Trachypithecus phayrei crepuscula,
GCA_023783535.1,867370,Cercopithecus albogularis,Sykes' monkey
GCA_026225945.1,1157628,Cricetomys ansorgei,southern giant pouched rat
GCA_023779675.1,43777,Pithecia pithecia,white-faced saki
GCA_023783135.1,9468,Loris tardigradus,slender loris
GCA_023783235.1,75566,Lophocebus aterrimus,Black crested mangabey
GCA_031001765.1,1552295,Molossus alvarezi,Alvarez's mastiff bat
GCA_947044825.1,248495,Pusa hispida saimensis,
GCA_023548195.1,881300,Bettongia penicillata ogilbyi,
GCA_903231385.1,1867112,Ovis nivicola lydekkeri,
GCA_017311185.1,2793304,Proteles cristata cristata,
GCA_017311455.1,2793302,Otocyon megalotis megalotis,
GCA_023783435.1,30609,Galago moholi,Moholi bushbaby
GCA_014363405.1,1496133,Pteropus pselaphon,Bonin flying fox
GCA_006410555.1,72542,Capra ibex,Alpine ibex
GCA_963422785.1,77149,Mustela eversmannii,steppe polecat
GCA_032199065.1,1559511,Smutsia gigantea,giant pangolin
GCA_004027205.1,10166,Ctenodactylus gundi,northern gundi
GCA_003227395.1,79784,Tursiops aduncus,Indo-pacific bottlenose dolphin
GCA_020740815.1,34861,Sciurus niger,fox squirrel
GCA_905335845.1,315377,Sus cebifrons,Visayan warty pig
GCA_004026545.1,118852,Mormoops blainvillei,Antillean ghost-faced bat
GCA_006408755.1,69308,Eudorcas thomsonii,Thomson's gazelle
GCF_900497805.2,29139,Vombatus ursinus,common wombat
GCA_021461705.1,183661,Cryptotis parvus,least shrew
GCA_900661375.1,191816,Lynx pardinus,Spanish lynx
GCA_019843965.1,1217597,Rhynchomys soricoides,Mount Data shrew rat
GCA_016696395.1,9283,Antechinus stuartii,brown antechinus
GCA_008750895.1,339999,Mirza zaza,
GCA_021464545.1,867831,Hipposideros pendleburyi,Pendlebury's leaf-nosed bat
GCA_004024925.1,71119,Scalopus aquaticus,eastern mole
GCA_006408615.1,9927,Connochaetes taurinus,brindled gnu
GCA_004026825.1,330464,Hemitragus hylocrius,Nilgiri tahr
GCA_004024745.2,51154,Catagonus wagneri,Chacoan peccary
GCA_004027695.1,143287,Cavia tschudii,Montane guinea pig
GCA_004027595.1,108858,Dinomys branickii,pacarana
GCA_004024805.1,234690,Xerus inauris,South African ground squirrel
GCA_006410535.1,69311,Litocranius walleri,gerenuk
GCA_006410635.1,129224,Cephalophus harveyi,Harvey's duiker
GCA_006410615.1,66442,Neotragus moschatus,suni
GCA_004026905.1,10137,Hystrix cristata,crested porcupine
GCA_004026705.1,2583312,Nesogale talazaci,Talazac's shrew tenrec
GCA_010120015.1,186474,Rhombomys opimus,great gerbil
GCA_004024885.1,9491,Saguinus imperator,tamarin
GCA_025134845.1,2613871,Neodon shergylaensis,
GCA_007455595.1,2162900,Alexandromys oeconomus,root vole
GCA_027422475.1,427616,Neofelis diardi,Sunda clouded leopard
GCA_006408585.1,59523,Antidorcas marsupialis,springbok
GCA_006410675.1,66444,Oreotragus oreotragus,klipspringer
GCA_006408465.1,1088058,Cervus albirostris,white-lipped deer
GCA_030324115.1,395025,Sorex maritimensis,Maritime shrew
GCA_006410935.1,59556,Redunca redunca,Bohar reedbuck
GCA_006408505.1,9929,Damaliscus lunatus,topi
GCA_004363535.1,34846,Dasyprocta punctata,punctate agouti
GCA_008750915.1,2508170,Microcebus sp. 3 GT-2019,
GCA_907164525.1,248799,Lophiomys imhausi,crested rat
GCA_006410795.1,9946,Tragelaphus strepsiceros,greater kudu
GCA_003336285.2,10103,Mus spicilegus,steppe mouse
GCA_006410875.1,1027985,Neotragus pygmaeus,royal antelope
GCA_004027895.1,1041416,Orientallactaga bullata,Gobi jerboa
GCA_004026965.1,10183,Petromus typicus,dassie-rat
GCA_008750935.1,143351,Microcebus tavaratra,
GCA_006410495.1,66440,Tragelaphus scriptus,bushbuck
GCA_004027295.1,29091,Dolichotis patagonum,Patagonian cavy
GCA_018403415.1,37030,Prionailurus iriomotensis,Iriomote cat
GCA_006408675.1,66434,Madoqua kirkii,Kirk's dik-dik
GCA_001262665.1,87288,Eulemur flavifrons,Sclater's lemur
GCA_019844195.1,996586,Rhabdomys dilectus,mesic four-striped grass rat
GCA_006410655.1,9962,Kobus ellipsiprymnus,waterbuck
GCA_006410735.1,59544,Raphicerus campestris,steenbok
GCA_009758055.1,34873,Oreamnos americanus,mountain goat
GCA_004026665.1,1453894,Murina aurata feae,
GCA_004024765.1,160400,Zapus hudsonius,meadow jumping mouse
GCA_004027555.1,208972,Craseonycteris thonglongyai,hog-nosed bat
GCA_004027655.1,51346,Graphiurus murinus,woodland dormouse
GCA_008750975.1,122231,Microcebus ravelobensis,
GCA_902168425.1,97206,Peromyscus attwateri,Texas deermouse
GCA_001262655.1,30602,Eulemur macaco,black lemur
GCA_902168325.1,162314,Peromyscus nudipes,
GCA_003945745.1,9958,Oryx gazella,gemsbok
GCA_032200785.1,73815,Phataginus tetradactyla,long-tailed pangolin
GCA_902168405.1,57100,Peromyscus aztecus,Aztec mouse
GCA_008750995.1,143354,Microcebus griseorufus,
GCA_008750955.1,236274,Microcebus mittermeieri,Mittermeier's mouse lemur
GCA_007922795.1,27670,Nycticeius humeralis,evening bat
GCA_019843815.1,119565,Praomys delectorum,delectable soft-furred mouse
GCA_006410775.1,9947,Tragelaphus imberbis,lesser kudu
GCA_001685075.1,39086,Ellobius lutescens,Transcaucasian mole vole
GCA_006410695.1,907741,Philantomba maxwellii,Maxwell's duiker
GCA_006408735.1,119562,Sylvicapra grimmia,bush duiker
GCA_001685095.1,329620,Ellobius talpinus,Northern mole vole
GCA_006408635.1,27591,Nanger granti,Grant's gazelle
GCA_029593785.1,48852,Cabassous unicinctus,southern naked-tailed armadillo
GCA_019843835.1,491754,Grammomys dolichurus,common thicket rat
GCA_004027635.1,876679,Crocidura indochinensis,
GCA_028565675.1,46219,Sorex palustris,American water shrew
GCA_002564305.1,135583,Octomys mimax,viscacha rat
GCA_019843855.1,34858,Hylomyscus alleni,Allen's wood mouse
GCA_002564285.1,61882,Tympanoctomys barrerae,plains viscacha rat
GCA_004027915.1,34842,Capromys pilorides,Desmarest's hutia
GCA_004365215.1,108852,Cuniculus paca,Lowland paca
GCA_006461725.1,68412,Moschus chrysogaster,alpine musk deer
GCA_006411685.1,69296,Tragelaphus buxtoni,mountain nyala
GCA_006416875.1,9945,Tragelaphus oryx,eland
GCA_006417275.1,59536,Ourebia ourebi,oribi
GCA_006408545.1,59517,Alcelaphus buselaphus,hartebeest
GCA_032206105.1,1836949,Manis culionensis,Palawan pangolin
GCF_009914755.1,9606,Homo sapiens,human
GCA_026225855.1,861190,Neophocaena asiaeorientalis sunameri,East Asian finless porpoise
GCA_006511355.2,415978,Sus scrofa scrofa,
GCA_012044875.1,9615,Canis lupus familiaris,dog
GCA_012045015.1,9615,Canis lupus familiaris,dog
GCA_002968435.1,72004,Bos mutus,wild yak
GCA_011064465.2,9606,Homo sapiens,human
GCA_018873775.2,9606,Homo sapiens,human
GCA_024586135.1,9606,Homo sapiens,human
GCA_021950905.1,9606,Homo sapiens,human
GCA_021951015.1,9606,Homo sapiens,human
GCA_002180035.3,9606,Homo sapiens,human
GCA_001524155.4,9606,Homo sapiens,human
GCA_003634875.1,9606,Homo sapiens,human
GCA_020497115.1,9606,Homo sapiens,human
GCA_014905855.1,9606,Homo sapiens,human
GCA_020497085.1,9606,Homo sapiens,human
GCA_002077035.3,9606,Homo sapiens,human
GCA_016700455.2,9606,Homo sapiens,human
GCA_016695395.2,9606,Homo sapiens,human
GCA_015476435.1,9606,Homo sapiens,human
GCA_022833125.2,9606,Homo sapiens,human
GCA_001292825.2,9606,Homo sapiens,human
GCA_000252825.1,9606,Homo sapiens,human
GCA_000212995.1,9606,Homo sapiens,human
GCA_001712695.1,9606,Homo sapiens,human
GCA_921998315.2,10090,Mus musculus,house mouse
GCA_030265425.1,10090,Mus musculus,house mouse
GCA_949316315.1,10090,Mus musculus,house mouse
GCA_031763685.1,10090,Mus musculus,house mouse
GCA_921997145.2,10090,Mus musculus,house mouse
GCA_947593165.1,10090,Mus musculus,house mouse
GCA_031761455.1,10090,Mus musculus,house mouse
GCA_947599735.1,10090,Mus musculus,house mouse
GCA_921998355.2,10090,Mus musculus,house mouse
GCA_921998905.2,10090,Mus musculus,house mouse
GCA_921997125.2,10090,Mus musculus,house mouse
GCA_921999865.2,10090,Mus musculus,house mouse
GCA_921998325.2,10090,Mus musculus,house mouse
GCA_921998555.2,10090,Mus musculus,house mouse
GCA_921998335.2,39442,Mus musculus musculus,eastern European house mouse
GCA_921999095.2,57486,Mus musculus molossinus,Japanese wild mouse
GCA_021556685.1,10116,Rattus norvegicus,Norway rat
GCA_023515805.1,10116,Rattus norvegicus,Norway rat
GCA_023515785.1,10116,Rattus norvegicus,Norway rat
GCA_030704935.1,9823,Sus scrofa,pig
GCA_031225015.1,9823,Sus scrofa,pig
GCA_024718415.1,9823,Sus scrofa,pig
GCA_002844635.1,9823,Sus scrofa,pig
GCA_031306245.1,9823,Sus scrofa,pig
GCA_015776825.1,9823,Sus scrofa,pig
GCA_007644095.1,9823,Sus scrofa,pig
GCA_017957985.1,9825,Sus scrofa domesticus,domestic pig
GCA_020567905.1,9825,Sus scrofa domesticus,domestic pig
GCA_947034695.1,9913,Bos taurus,cattle
GCA_028973685.2,9913,Bos taurus,cattle
GCA_021234555.1,9913,Bos taurus,cattle
GCA_905123885.1,9913,Bos taurus,cattle
GCA_905123515.1,9913,Bos taurus,cattle
GCA_021347905.1,9913,Bos taurus,cattle
GCA_013276365.2,9615,Canis lupus familiaris,dog
GCA_031010295.1,9615,Canis lupus familiaris,dog
GCF_000002285.5,9615,Canis lupus familiaris,dog
GCA_031010765.1,9615,Canis lupus familiaris,dog
GCA_031165255.1,9615,Canis lupus familiaris,dog
GCA_008641055.3,9615,Canis lupus familiaris,dog
GCF_014441545.1,9615,Canis lupus familiaris,dog
GCA_031010635.1,9615,Canis lupus familiaris,dog
GCA_004886185.2,9615,Canis lupus familiaris,dog
GCA_905319855.2,9612,Canis lupus,gray wolf
GCA_012295265.2,286419,Canis lupus dingo,dingo
GCA_008058575.1,9544,Macaca mulatta,Rhesus monkey
GCA_000230795.1,9544,Macaca mulatta,Rhesus monkey
GCA_022416915.1,9940,Ovis aries,sheep
GCA_018804185.1,9940,Ovis aries,sheep
GCA_022432835.1,9940,Ovis aries,sheep
GCA_022416755.1,9940,Ovis aries,sheep
GCA_022416685.1,9940,Ovis aries,sheep
GCA_017524585.1,9940,Ovis aries,sheep
GCA_024222265.1,9940,Ovis aries,sheep
GCA_022432845.1,9940,Ovis aries,sheep
GCA_019145175.1,9940,Ovis aries,sheep
GCA_022416785.1,9940,Ovis aries,sheep
GCA_022538005.1,9940,Ovis aries,sheep
GCA_022416745.1,9940,Ovis aries,sheep
GCA_022416725.1,9940,Ovis aries,sheep
GCA_022244705.1,9940,Ovis aries,sheep
GCA_022244695.1,9940,Ovis aries,sheep
GCA_022432825.1,9940,Ovis aries,sheep
GCA_022416775.1,9940,Ovis aries,sheep
GCA_016772045.2,9940,Ovis aries,sheep
GCA_024222175.1,9940,Ovis aries,sheep
GCA_022416695.1,9940,Ovis aries,sheep
GCA_011170295.1,9940,Ovis aries,sheep
GCA_015443085.1,9925,Capra hircus,goat
GCA_026652205.1,9925,Capra hircus,goat
GCA_000317765.2,9925,Capra hircus,goat
GCA_004361675.1,9925,Capra hircus,goat
GCA_011100615.1,9541,Macaca fascicularis,crab-eating macaque
GCA_000230815.1,9541,Macaca fascicularis,crab-eating macaque
GCA_000222185.1,9541,Macaca fascicularis,crab-eating macaque
GCA_013371645.1,568996,Oryctolagus cuniculus cuniculus,
GCF_003668045.3,10029,Cricetulus griseus,Chinese hamster
GCA_016509815.2,9685,Felis catus,domestic cat
GCA_000181335.6,9685,Felis catus,domestic cat
GCA_000003115.1,9685,Felis catus,domestic cat
GCA_011100535.2,9483,Callithrix jacchus,white-tufted-ear marmoset
GCA_011078405.1,9483,Callithrix jacchus,white-tufted-ear marmoset
GCA_030269505.1,9915,Bos indicus,zebu cattle
GCA_030272235.1,9915,Bos indicus,zebu cattle
GCA_030272135.1,9915,Bos indicus,zebu cattle
GCA_030267375.1,9915,Bos indicus,zebu cattle
GCA_030271795.1,9915,Bos indicus,zebu cattle
GCA_030269815.1,9915,Bos indicus,zebu cattle
GCA_029378745.1,9915,Bos indicus,zebu cattle
GCA_030271805.1,9915,Bos indicus,zebu cattle
GCA_030267355.1,9915,Bos indicus,zebu cattle
GCA_029378735.1,9915,Bos indicus,zebu cattle
GCA_030267345.1,9915,Bos indicus,zebu cattle
GCA_030270715.1,9915,Bos indicus,zebu cattle
GCA_030270685.1,9915,Bos indicus,zebu cattle
GCA_030270805.1,9915,Bos indicus,zebu cattle
GCA_030270705.1,9915,Bos indicus,zebu cattle
GCA_030270725.1,9915,Bos indicus,zebu cattle
GCA_030272475.1,9915,Bos indicus,zebu cattle
GCA_030270825.1,9915,Bos indicus,zebu cattle
GCA_030270935.1,9915,Bos indicus,zebu cattle
GCA_026262465.1,9915,Bos indicus,zebu cattle
GCA_030270865.1,9915,Bos indicus,zebu cattle
GCA_026262545.1,9915,Bos indicus,zebu cattle
GCA_026262515.1,9915,Bos indicus,zebu cattle
GCA_026262375.1,9915,Bos indicus,zebu cattle
GCA_030270995.1,9915,Bos indicus,zebu cattle
GCA_030270845.1,9915,Bos indicus,zebu cattle
GCA_030270855.1,9915,Bos indicus,zebu cattle
GCA_030272505.1,9915,Bos indicus,zebu cattle
GCA_030272495.1,9915,Bos indicus,zebu cattle
GCA_030270955.1,9915,Bos indicus,zebu cattle
GCA_030270945.1,9915,Bos indicus,zebu cattle
GCA_027580245.1,30521,Bos grunniens,domestic yak
GCA_028858805.1,9598,Pan troglodytes,chimpanzee
GCA_011800105.1,10117,Rattus rattus,black rat
GCA_008728515.2,9555,Papio anubis,olive baboon
GCA_944319715.1,10181,Heterocephalus glaber,naked mole-rat
GCA_944319725.1,10181,Heterocephalus glaber,naked mole-rat
GCA_029963865.1,9646,Ailuropoda melanoleuca,giant panda
GCA_021130815.1,74535,Panthera tigris tigris,Bengal tiger
GCA_021131075.1,74535,Panthera tigris tigris,Bengal tiger
GCA_024034525.1,9694,Panthera tigris,tiger
GCA_023856395.1,10044,Phodopus sungorus,Djungarian hamster
GCA_028885475.1,9595,Gorilla gorilla gorilla,western lowland gorilla
GCA_028885495.1,9595,Gorilla gorilla gorilla,western lowland gorilla
GCA_900006655.3,9595,Gorilla gorilla gorilla,western lowland gorilla
GCA_030014295.1,9785,Loxodonta africana,African savanna elephant
GCA_032717415.1,9785,Loxodonta africana,African savanna elephant
GCA_032717405.1,9785,Loxodonta africana,African savanna elephant
GCA_030254825.1,10047,Meriones unguiculatus,Mongolian gerbil
GCA_030445055.1,9361,Dasypus novemcinctus,nine-banded armadillo
GCA_003369685.2,30522,Bos indicus x Bos taurus,hybrid cattle
GCA_000002275.2,9258,Ornithorhynchus anatinus,platypus
GCA_032718585.1,9783,Elephas maximus,Asiatic elephant
GCA_032718755.1,9783,Elephas maximus,Asiatic elephant
GCA_951394145.1,228257,Rangifer tarandus platyrhyncus,
GCA_019903745.2,86327,Rangifer tarandus caribou,
GCA_002197005.1,46360,Cervus elaphus hippelaphus,
GCA_028885525.1,9600,Pongo pygmaeus,Bornean orangutan
GCA_028885685.1,9601,Pongo abelii,Sumatran orangutan
GCA_015598185.1,9261,Tachyglossus aculeatus,Australian echidna
GCA_000001545.3,9601,Pongo abelii,Sumatran orangutan
GCA_023653735.1,73337,Ceratotherium simum simum,southern white rhinoceros
GCA_021442165.1,310713,Ceratotherium simum cottoni,northern white rhinoceros
GCA_027580195.1,72004,Bos mutus,wild yak
GCA_022682395.1,9430,Desmodus rotundus,common vampire bat
GCA_023699985.2,9874,Odocoileus virginianus,white-tailed deer
GCA_028858845.1,9597,Pan paniscus,pygmy chimpanzee
GCA_028858825.1,9597,Pan paniscus,pygmy chimpanzee
GCA_013052645.3,9597,Pan paniscus,pygmy chimpanzee
GCA_030435715.1,9978,Ochotona princeps,American pika
GCA_031878665.1,10013,Thomomys bottae,Botta's pocket gopher
GCA_031878675.1,10013,Thomomys bottae,Botta's pocket gopher
GCA_028749965.3,9696,Puma concolor,puma
GCA_028749985.3,9696,Puma concolor,puma
GCA_008795835.1,9689,Panthera leo,lion
GCA_001624865.1,10096,Mus spretus,western wild mouse
GCA_023065835.1,9833,Hippopotamus amphibius,hippopotamus
GCA_922984935.2,9662,Meles meles,Eurasian badger
GCA_009493655.1,331036,Bos grunniens x Bos taurus,dzo
GCA_030062865.1,9728,Delphinus delphis,saddleback dolphin
GCA_031878655.1,9802,Tapirus indicus,Asiatic tapir
GCA_026419985.1,27615,Kogia breviceps,pygmy sperm whale
GCA_028643795.1,30640,Sciurus carolinensis,gray squirrel
GCA_001887905.1,9622,Lycaon pictus,African hunting dog
GCA_001883655.1,9622,Lycaon pictus,African hunting dog
GCA_028533375.1,9805,Diceros bicornis,black rhinoceros
GCA_030324275.1,61452,Neofelis nebulosa,Clouded leopard
GCA_028878085.1,9590,Symphalangus syndactylus,siamang
GCA_028571275.1,27606,Eubalaena glacialis,North Atlantic right whale
GCA_963455315.1,9731,Globicephala melas,long-finned pilot whale
GCA_949787125.1,38674,Onychomys torridus,southern grasshopper mouse
GCA_008787405.2,9886,Muntiacus reevesi,Reeves' muntjac
GCA_015741225.1,10149,Hydrochoerus hydrochaeris,capybara
GCA_028533075.1,9565,Theropithecus gelada,gelada
GCA_028533255.1,9801,Tapirus terrestris,Brazilian tapir
GCA_028551425.1,61388,Prionailurus viverrinus,fishing cat
GCA_028642525.1,9590,Symphalangus syndactylus,siamang
GCA_028534125.1,9844,Lama glama,llama
GCA_023701675.1,2918886,Ovis ammon polii x Ovis aries,
GCA_951640355.1,59451,Eptesicus nilssonii,northern bat
GCA_949786435.1,42410,Peromyscus eremicus,cactus mouse
GCA_028646445.1,29064,Panthera uncia,snow leopard
GCA_028533875.1,210652,Mungos mungo,banded mongoose
GCA_028533295.1,61379,Felis nigripes,black-footed cat
GCA_018282365.1,297284,Bos taurus x Bison bison,beefalo
GCA_030254855.1,297284,Bos taurus x Bison bison,beefalo
GCA_949786425.1,38679,Onychomys arenicola,Chihuahuan grasshopper mouse
GCA_949786395.1,38668,Onychomys leucogaster,northern grasshopper mouse
GCA_021498455.1,33548,Colobus guereza,mantled guereza
GCA_020226055.1,71854,Muntiacus crinifrons,black muntjac
GCA_028626985.1,29139,Vombatus ursinus,common wombat
GCA_028551515.1,43777,Pithecia pithecia,white-faced saki
GCA_028643805.1,9279,Dasyurus viverrinus,eastern quoll
GCA_001292865.1,9823,Sus scrofa,pig
GCA_000448345.1,10029,Cricetulus griseus,Chinese hamster
GCA_013373975.1,9483,Callithrix jacchus,white-tufted-ear marmoset
GCA_018852605.1,9606,Homo sapiens,human
GCA_018467155.1,9606,Homo sapiens,human
GCA_018852615.1,9606,Homo sapiens,human
GCA_018506965.1,9606,Homo sapiens,human
GCA_018472865.1,9606,Homo sapiens,human
GCA_018469875.1,9606,Homo sapiens,human
GCA_018466985.1,9606,Homo sapiens,human
GCA_018466845.1,9606,Homo sapiens,human
GCA_018467005.1,9606,Homo sapiens,human
GCA_018466835.1,9606,Homo sapiens,human
GCA_018506945.1,9606,Homo sapiens,human
GCA_018466855.1,9606,Homo sapiens,human
GCA_018471075.1,9606,Homo sapiens,human
GCA_018467165.1,9606,Homo sapiens,human
GCA_018469405.1,9606,Homo sapiens,human
GCA_018472765.1,9606,Homo sapiens,human
GCA_018472725.1,9606,Homo sapiens,human
GCA_018469415.1,9606,Homo sapiens,human
GCA_018467015.1,9606,Homo sapiens,human
GCA_018471515.1,9606,Homo sapiens,human
GCA_018472575.1,9606,Homo sapiens,human
GCA_018471545.1,9606,Homo sapiens,human
GCA_018469665.1,9606,Homo sapiens,human
GCA_018472695.1,9606,Homo sapiens,human
GCA_018472715.1,9606,Homo sapiens,human
GCA_018472845.1,9606,Homo sapiens,human
GCA_018469965.1,9606,Homo sapiens,human
GCA_018469925.1,9606,Homo sapiens,human
GCA_018471105.1,9606,Homo sapiens,human
GCA_018472605.1,9606,Homo sapiens,human
GCA_018472685.1,9606,Homo sapiens,human
GCA_018469675.1,9606,Homo sapiens,human
GCA_018469865.1,9606,Homo sapiens,human
GCA_018472595.1,9606,Homo sapiens,human
GCA_018471345.1,9606,Homo sapiens,human
GCA_018469705.1,9606,Homo sapiens,human
GCA_018470425.1,9606,Homo sapiens,human
GCA_018472705.1,9606,Homo sapiens,human
GCA_018469685.1,9606,Homo sapiens,human
GCA_018469425.1,9606,Homo sapiens,human
GCA_018469695.1,9606,Homo sapiens,human
GCA_018506975.1,9606,Homo sapiens,human
GCA_018471555.1,9606,Homo sapiens,human
GCA_018469935.1,9606,Homo sapiens,human
GCA_018503285.1,9606,Homo sapiens,human
GCA_018471525.1,9606,Homo sapiens,human
GCA_018471095.1,9606,Homo sapiens,human
GCA_018506955.1,9606,Homo sapiens,human
GCA_018503255.1,9606,Homo sapiens,human
GCA_018471535.1,9606,Homo sapiens,human
GCA_018506165.1,9606,Homo sapiens,human
GCA_018471085.1,9606,Homo sapiens,human
GCA_018506125.1,9606,Homo sapiens,human
GCA_018471065.1,9606,Homo sapiens,human
GCA_018472585.1,9606,Homo sapiens,human
GCA_018506155.1,9606,Homo sapiens,human
GCA_018473315.1,9606,Homo sapiens,human
GCA_018505855.1,9606,Homo sapiens,human
GCA_001420765.1,9606,Homo sapiens,human
GCA_018504365.1,9606,Homo sapiens,human
GCA_018398555.1,9606,Homo sapiens,human
GCA_018398495.1,9606,Homo sapiens,human
GCA_018398505.1,9606,Homo sapiens,human
GCA_018504375.1,9606,Homo sapiens,human
GCA_009935935.1,9606,Homo sapiens,human
GCA_001420755.1,9606,Homo sapiens,human
GCA_018473295.1,9606,Homo sapiens,human
GCA_018504645.1,9606,Homo sapiens,human
GCA_009176485.1,9606,Homo sapiens,human
GCA_002884485.1,9606,Homo sapiens,human
GCA_018469945.1,9606,Homo sapiens,human
GCA_018504045.1,9606,Homo sapiens,human
GCA_018470465.1,9606,Homo sapiens,human
GCA_018472565.1,9606,Homo sapiens,human
GCA_018503275.1,9606,Homo sapiens,human
GCA_018470455.1,9606,Homo sapiens,human
GCA_012067775.1,9606,Homo sapiens,human
GCA_018472835.1,9606,Homo sapiens,human
GCA_018503245.1,9606,Homo sapiens,human
GCA_018473305.1,9606,Homo sapiens,human
GCA_018472825.1,9606,Homo sapiens,human
GCA_013364845.1,9606,Homo sapiens,human
GCA_012553475.1,9606,Homo sapiens,human
GCA_012553465.1,9606,Homo sapiens,human
GCA_001297185.2,9606,Homo sapiens,human
GCA_018472855.1,9606,Homo sapiens,human
GCA_012067855.1,9606,Homo sapiens,human
GCA_012067805.1,9606,Homo sapiens,human
GCA_001307015.1,9606,Homo sapiens,human
GCA_013364835.1,9606,Homo sapiens,human
GCA_018469955.1,9606,Homo sapiens,human
GCA_003070785.1,9606,Homo sapiens,human
GCA_018503265.1,9606,Homo sapiens,human
GCA_018504055.1,9606,Homo sapiens,human
GCA_018503525.1,9606,Homo sapiens,human
GCA_018504075.1,9606,Homo sapiens,human
GCA_018505865.1,9606,Homo sapiens,human
GCA_018852585.1,9606,Homo sapiens,human
GCA_011008995.1,9606,Homo sapiens,human
GCA_001307125.1,9606,Homo sapiens,human
GCA_018470445.1,9606,Homo sapiens,human
GCA_018505825.1,9606,Homo sapiens,human
GCA_009650525.1,9606,Homo sapiens,human
GCA_012069725.1,9606,Homo sapiens,human
GCA_003574075.1,9606,Homo sapiens,human
GCA_012069735.1,9606,Homo sapiens,human
GCA_018504065.1,9606,Homo sapiens,human
GCA_012069705.1,9606,Homo sapiens,human
GCA_018504625.1,9606,Homo sapiens,human
GCA_002208065.1,9606,Homo sapiens,human
GCA_012933705.1,9606,Homo sapiens,human
GCA_012933715.1,9606,Homo sapiens,human
GCA_002209525.2,9606,Homo sapiens,human
GCA_002872155.1,9606,Homo sapiens,human
GCA_018504635.1,9606,Homo sapiens,human
GCA_001307025.1,9606,Homo sapiens,human
GCA_009769715.1,9606,Homo sapiens,human
GCA_018504655.1,9606,Homo sapiens,human
GCA_018504085.1,9606,Homo sapiens,human
GCA_018505835.1,9606,Homo sapiens,human
GCA_008065235.1,9606,Homo sapiens,human
GCA_010580585.1,9606,Homo sapiens,human
GCA_014083845.1,9606,Homo sapiens,human
GCA_018852595.1,9606,Homo sapiens,human
GCA_018470435.1,9606,Homo sapiens,human
GCA_018503585.1,9606,Homo sapiens,human
GCA_001015355.1,9606,Homo sapiens,human
GCA_018505845.1,9606,Homo sapiens,human
GCA_009299535.1,9606,Homo sapiens,human
GCA_018503575.1,9606,Homo sapiens,human
GCA_001750385.2,9606,Homo sapiens,human
GCA_004796485.2,9606,Homo sapiens,human
GCA_001421375.1,9606,Homo sapiens,human
GCA_018504665.1,9606,Homo sapiens,human
GCA_009734825.1,9606,Homo sapiens,human
GCA_004796285.1,9606,Homo sapiens,human
GCA_010580605.1,9606,Homo sapiens,human
GCA_000983465.1,9606,Homo sapiens,human
GCA_010279795.1,9606,Homo sapiens,human
GCA_021234545.1,9606,Homo sapiens,human
GCA_001015385.3,9606,Homo sapiens,human
GCA_900232925.2,9606,Homo sapiens,human
